Name,Type,Magnitude,Distance,Constellation,RA,DEC,Other Names,Description,Url_image
NGC 1,Galaxy,15.2,55200.0,Pegasus,00h07m,+27°42',Mrk 477,From Madrid: NGC1 is not observable – it will reach its highest point in the sky during daytime and is no higher than 17° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115728_178d08e46221.png
NGC 2,Galaxy,16.2,96800.0,Pegasus,00h07m,+27°40',Mrk 1175,From Madrid: NGC2 is not observable – it will reach its highest point in the sky during daytime and is no higher than 17° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115718_43468d78b3dc.png
NGC 3,Galaxy,16.0,–,Pisces,00h07m,+08°18',Mrk 211,From Madrid: NGC3 is not observable – it will reach its highest point in the sky during daytime and is no higher than 4° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115720_660c34a1256a.png
NGC 4,Galaxy,16.4,–,Pisces,00h07m,+08°22',,From Madrid: NGC4 is not observable – it will reach its highest point in the sky during daytime and is no higher than 4° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115716_ebffbb98ecb4.png
NGC 5,Galaxy,14.6,–,Andromeda,00h07m,+35°21',,From Madrid: NGC5 is not observable – it will reach its highest point in the sky during daytime and is no higher than 21° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115733_42af6ffd3a83.png
NGC 6,Galaxy,14.4,–,Andromeda,00h09m,+33°18',,From Madrid: NGC6 is not observable – it will reach its highest point in the sky during daytime and is no higher than 20° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_cf97642356dc.png
NGC 7,Galaxy,13.8,20050.0,Sculptor,00h08m,-29°54',,From Madrid: NGC7 is not readily observable since it lies so far south that it will never rise more than 19° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115741_0f3edca3f8a5.png
NGC 8,Double star,15.3,–,Pegasus,00h08m,+23°50',,From Madrid: NGC8 is not observable – it will reach its highest point in the sky during daytime and is no higher than 14° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115726_cfe8a800959d.png
NGC 9,Galaxy,14.6,41250.0,Pegasus,00h08m,+23°49',,From Madrid: NGC9 is not observable – it will reach its highest point in the sky during daytime and is no higher than 14° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_f8ae70cfdcfe.png
NGC 10,Galaxy,12.5,84300.0,Sculptor,00h08m,-33°51',,From Madrid: NGC10 is not readily observable since it lies so far south that it will never rise more than 15° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115755_5b15ac9b9768.png
NGC 11,Galaxy,14.4,54000.0,Andromeda,00h08m,+37°26',,"From Madrid: NGC11 is visible in the dawn sky, rising at 03:26 (CEST) – 3 hours and 55 minutes before the Sun – and reaching an altitude of 22° above the north-eastern horizon before fading from view as dawn breaks around 06:12.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_c52b4a82d4d3.png
NGC 12,Galaxy,13.2,47000.0,Pisces,00h08m,+04°36',,From Madrid: NGC12 is not observable – it will reach its highest point in the sky during daytime and is no higher than 2° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115748_0ab67218aac7.png
NGC 13,Galaxy,14.1,61800.0,Andromeda,00h08m,+33°25',,From Madrid: NGC13 is not observable – it will reach its highest point in the sky during daytime and is no higher than 20° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115739_407de13ae960.png
NGC 14,Galaxy,12.7,–,Pegasus,00h08m,+15°48',Arp 235,From Madrid: NGC14 is not observable – it will reach its highest point in the sky during daytime and is no higher than 9° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115753_5c332bbd3cc3.png
NGC 15,Galaxy,15.1,123500.0,Pegasus,00h09m,+21°37',,From Madrid: NGC15 is not observable – it will reach its highest point in the sky during daytime and is no higher than 13° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115729_490d6a6ab920.png
NGC 16,Galaxy,12.0,32850.0,Pegasus,00h09m,+27°43',,From Madrid: NGC16 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115800_c2569f444c14.png
NGC 17,Galaxy,13.5,–,Cetus,00h11m,-12°06',,From Madrid: NGC17 is not observable – it will reach its highest point in the sky during daytime and is  8° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115744_a6794267a93f.png
NGC 18,Double star,14.0,–,Pegasus,00h09m,+27°43',,From Madrid: NGC18 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115740_e8a37c195096.png
NGC 19,Galaxy,13.8,64200.0,Andromeda,00h10m,+32°58',,From Madrid: NGC19 is not observable – it will reach its highest point in the sky during daytime and is no higher than 19° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115741_b111b77a0836.png
NGC 20,Duplicate,–,–,Andromeda,00h09m,+33°18',,"From Madrid: NGC20 is visible from soon after it rises, at 03:55, until soon before it sets at 20:36. Always take extreme caution when trying to make daytime observations of the Moon while the Sun is above the horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_ae735b3d6666.png
NGC 21,Galaxy,13.4,70300.0,Andromeda,00h10m,+33°21',,From Madrid: NGC21 is not observable – it will reach its highest point in the sky during daytime and is no higher than 19° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_601819c6b453.png
NGC 22,Galaxy,14.8,121000.0,Pegasus,00h09m,+27°49',,From Madrid: NGC22 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115731_7853875d6bc0.png
NGC 23,Galaxy,13.0,54600.0,Pegasus,00h09m,+25°55',Mrk 545,From Madrid: NGC23 is not observable – it will reach its highest point in the sky during daytime and is no higher than 15° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115750_7ddbfb3ef902.png
NGC 24,Galaxy,11.5,8170.0,Sculptor,00h09m,-24°57',,From Madrid: NGC24 is not observable – it will reach its highest point in the sky during daytime and is  16° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115804_0e4921fda2c1.png
NGC 25,Galaxy,15.5,9380.0,Phoenix,00h09m,-57°01',,From Madrid: NGC25 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115725_b70b19675e81.png
NGC 26,Galaxy,13.8,63400.0,Pegasus,00h10m,+25°49',,From Madrid: NGC26 is not observable – it will reach its highest point in the sky during daytime and is no higher than 15° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115741_f3cc42440054.png
NGC 27,Galaxy,14.4,94100.0,Andromeda,00h10m,+28°59',,From Madrid: NGC27 is not observable – it will reach its highest point in the sky during daytime and is no higher than 17° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_1b3b0a24944a.png
NGC 28,Galaxy,15.8,–,Phoenix,00h10m,-56°59',,From Madrid: NGC28 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115722_f92352f540b7.png
NGC 29,Duplicate,–,70300.0,Andromeda,00h10m,+33°21',,"From Madrid: NGC29 is visible from soon after it rises, at 03:56, until soon before it sets at 20:37. Always take extreme caution when trying to make daytime observations of the Moon while the Sun is above the horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_741643561914.png
NGC 30,Double star,–,–,Pegasus,00h10m,+21°58',,"From Madrid: NGC30 is visible from soon after it rises, at 04:53, until soon before it sets at 19:40. Always take extreme caution when trying to make daytime observations of the Moon while the Sun is above the horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_df0ddaf6881e.png
NGC 31,Galaxy,14.6,–,Phoenix,00h10m,-56°59',,From Madrid: NGC31 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_999389217e40.png
NGC 32,Star,15.5,–,Pegasus,00h10m53s,"+18°47'45""",Mrk 1275,From Madrid: NGC32 is not observable – it will reach its highest point in the sky during daytime and is no higher than 10° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115725_caa18c06edb5.png
NGC 33,Double star,–,–,Pisces,00h10m,+03°40',,"From Madrid: NGC33 is visible from soon after it rises, at 06:01, until soon before it sets at 18:32. Always take extreme caution when trying to make daytime observations of the Moon while the Sun is above the horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_c65e78be23d8.png
NGC 34,Duplicate,14.0,–,Cetus,00h11m,-12°06',Mrk 938,From Madrid: NGC34 is not observable – it will reach its highest point in the sky during daytime and is  8° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115740_0b6a4e39bfa8.png
NGC 35,Galaxy,14.9,–,Cetus,00h11m,-12°01',,From Madrid: NGC35 is not observable – it will reach its highest point in the sky during daytime and is  8° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115731_1dd8c16b8516.png
NGC 36,Galaxy,14.4,71000.0,Pisces,00h11m,+06°23',,From Madrid: NGC36 is not observable – it will reach its highest point in the sky during daytime and is no higher than 2° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_af0edcfe91b9.png
NGC 37,Galaxy,14.9,165000.0,Phoenix,00h11m,-56°57',,From Madrid: NGC37 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115730_75d850cb5ed8.png
NGC 38,Galaxy,14.3,–,Pisces,00h11m,-05°35',,From Madrid: NGC38 is not observable – it will reach its highest point in the sky during daytime and is  4° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_58383360d0ef.png
NGC 39,Galaxy,14.3,–,Andromeda,00h12m,+31°03',,From Madrid: NGC39 is not observable – it will reach its highest point in the sky during daytime and is no higher than 18° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_058cd0a1134b.png
NGC 40,Planetary nebula,11.6,–,Cepheus,00h13m,+72°31',"Bow Tie Nebula, C 2","From Madrid: the Bow Tie Nebula is visible all night because it is circumpolar. It will be highest in the sky shortly before dawn, when it will be lost to twilight around 06:12, 37° above your northern horizon. At dusk, it will become visible around 22:12 (CEST), 25° above your northern horizon.",https://in-the-sky.org/image.php?style=icon&obj=NGC40
NGC 41,Galaxy,14.5,80300.0,Pegasus,00h12m,+22°01',,From Madrid: NGC41 is not observable – it will reach its highest point in the sky during daytime and is no higher than 12° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_48f1f03b4b57.png
NGC 42,Galaxy,15.1,–,Pegasus,00h12m,+22°06',,From Madrid: NGC42 is not observable – it will reach its highest point in the sky during daytime and is no higher than 12° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115729_08ebf759b1e2.png
NGC 43,Galaxy,13.9,–,Andromeda,00h13m,+30°54',,From Madrid: NGC43 is not observable – it will reach its highest point in the sky during daytime and is no higher than 18° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115741_1abb80084321.png
NGC 44,Double star,–,–,Andromeda,00h13m,+31°17',,"From Madrid: NGC44 is visible from soon after it rises, at 04:10, until soon before it sets at 20:28. Always take extreme caution when trying to make daytime observations of the Moon while the Sun is above the horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_400c4a496696.png
NGC 45,Galaxy,10.4,–,Cetus,00h14m,-23°10',,From Madrid: NGC45 is not observable – it will reach its highest point in the sky during daytime and is  16° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115815_1391160e8163.png
NGC 46,Star,11.7,–,Pisces,00h14m09s,"+05°59'15""",,From Madrid: NGC46 is not observable – it will reach its highest point in the sky during daytime and is no higher than 2° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115803_488df512c451.png
NGC 47,Galaxy,13.5,–,Cetus,00h14m,-07°10',,From Madrid: NGC47 is not observable – it will reach its highest point in the sky during daytime and is  6° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_ac786bdea15f.png
NGC 48,Galaxy,14.9,38700.0,Andromeda,00h14m,+48°14',,"From Madrid: NGC48 is visible in the dawn sky, rising at 01:13 (CEST) and reaching an altitude of 27° above the north-eastern horizon before fading from view as dawn breaks around 06:12.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115730_ae2fd720cf8a.png
NGC 49,Galaxy,15.2,–,Andromeda,00h14m,+48°14',,"From Madrid: NGC49 is visible in the dawn sky, rising at 01:13 (CEST) and reaching an altitude of 27° above the north-eastern horizon before fading from view as dawn breaks around 06:12.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115728_210bb4c06079.png
NGC 50,Galaxy,12.8,–,Cetus,00h14m,-07°20',,From Madrid: NGC50 is not observable – it will reach its highest point in the sky during daytime and is  6° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115752_2ce764c36e1f.png
NGC 51,Galaxy,14.4,–,Andromeda,00h14m,+48°15',,"From Madrid: NGC51 is visible in the dawn sky, rising at 01:13 (CEST) and reaching an altitude of 27° above the north-eastern horizon before fading from view as dawn breaks around 06:12.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_96b29f7286e5.png
NGC 52,Galaxy,14.3,69800.0,Pegasus,00h14m,+18°34',,From Madrid: NGC52 is not observable – it will reach its highest point in the sky during daytime and is no higher than 10° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_f4bc2314cb80.png
NGC 53,Galaxy,12.6,72300.0,Tucana,00h14m,-60°19',,From Madrid: NGC53 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115753_a650a3e70960.png
NGC 54,Galaxy,14.3,–,Cetus,00h15m,-07°06',,From Madrid: NGC54 is not observable – it will reach its highest point in the sky during daytime and is  6° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_5756d1120bb6.png
NGC 55,Galaxy,8.2,–,Sculptor,00h14m,-39°11',C 72,From Madrid: NGC55 is not readily observable since it lies so far south that it will never rise more than 10° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115838_57d0ff34eb9f.png
NGC 56,Nebula,–,–,Pisces,00h15m,+12°26',,"From Madrid: NGC56 is visible from soon after it rises, at 05:34, until soon before it sets at 19:07. Always take extreme caution when trying to make daytime observations of the Moon while the Sun is above the horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_e4e678f4dc29.png
NGC 57,Galaxy,11.7,–,Pisces,00h15m,+17°19',,From Madrid: NGC57 is not observable – it will reach its highest point in the sky during daytime and is no higher than 9° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115803_c7396459ca92.png
NGC 58,Duplicate,–,–,Cetus,00h14m,-07°10',,"From Madrid: NGC58 is visible from soon after it rises, at 06:42, until soon before it sets at 17:58. Always take extreme caution when trying to make daytime observations of the Moon while the Sun is above the horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_a7f9100c33cc.png
NGC 59,Galaxy,16.0,–,Cetus,00h15m,-21°26',Mrk 728,From Madrid: NGC59 is not observable – it will reach its highest point in the sky during daytime and is  15° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115720_28d24af1f664.png
NGC 60,Galaxy,14.9,–,Pisces,00h15m,-00°18',,From Madrid: NGC60 is not observable – it will reach its highest point in the sky during daytime and is  2° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115731_7a1f5fe93e34.png
NGC 61,Galaxy,14.0,–,Cetus,00h16m,-06°19',,From Madrid: NGC61 is not observable – it will reach its highest point in the sky during daytime and is  6° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115739_7847fe1fec42.png
NGC 62,Galaxy,14.3,69700.0,Cetus,00h17m,-13°29',,From Madrid: NGC62 is not observable – it will reach its highest point in the sky during daytime and is  10° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115737_e39a82dfe77f.png
NGC 63,Galaxy,12.5,18700.0,Pisces,00h17m,+11°27',,From Madrid: NGC63 is not observable – it will reach its highest point in the sky during daytime and is no higher than 5° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115754_5f2f37b581b3.png
NGC 64,Galaxy,14.1,102000.0,Cetus,00h17m,-06°49',,From Madrid: NGC64 is not observable – it will reach its highest point in the sky during daytime and is  6° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115739_38997aa33ba8.png
NGC 65,Galaxy,14.7,–,Cetus,00h18m,-22°52',,From Madrid: NGC65 is not observable – it will reach its highest point in the sky during daytime and is  17° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115733_c50580b53f25.png
NGC 66,Galaxy,14.1,94600.0,Cetus,00h19m,-22°56',,From Madrid: NGC66 is not observable – it will reach its highest point in the sky during daytime and is  17° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115738_671f230bdea7.png
NGC 67,Galaxy,16.5,–,Andromeda,00h18m,+30°03',,From Madrid: NGC67 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115715_82f7f892d36a.png
NGC 68,Galaxy,13.0,83200.0,Andromeda,00h18m,+30°04',,From Madrid: NGC68 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115750_6899021d9575.png
NGC 69,Galaxy,14.7,–,Andromeda,00h18m,+30°02',,From Madrid: NGC69 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115732_52356d10b769.png
NGC 70,Galaxy,14.5,–,Andromeda,00h18m,+30°04',Arp 113,From Madrid: NGC70 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_7a25058f9a09.png
NGC 71,Galaxy,14.1,92500.0,Andromeda,00h18m,+30°03',,From Madrid: NGC71 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115739_f004d9e6ce51.png
NGC 72,Galaxy,14.6,–,Andromeda,00h18m,+30°02',,From Madrid: NGC72 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115733_76c8ffe5c18a.png
NGC 73,Galaxy,14.4,107500.0,Cetus,00h18m,-15°19',,From Madrid: NGC73 is not observable – it will reach its highest point in the sky during daytime and is  12° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_47fd4a853487.png
NGC 74,Galaxy,15.6,–,Andromeda,00h18m,+30°03',,From Madrid: NGC74 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115723_aa915b1a0099.png
NGC 75,Galaxy,14.6,–,Pisces,00h19m,+06°26',,From Madrid: NGC75 is not observable – it will reach its highest point in the sky during daytime and is no higher than 1° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115733_24da52a47705.png
NGC 76,Galaxy,14.1,–,Andromeda,00h19m,+29°56',,From Madrid: NGC76 is not observable – it will reach its highest point in the sky during daytime and is no higher than 16° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115739_3bae3c257f26.png
NGC 77,Galaxy,15.9,–,Cetus,00h20m,-22°31',,From Madrid: NGC77 is not observable – it will reach its highest point in the sky during daytime and is  17° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115720_54ee98ed3426.png
NGC 78,Galaxy,13.5,–,Pisces,00h20m,+00°50',,From Madrid: NGC78 is not observable – it will reach its highest point in the sky during daytime and is  2° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_82f00727c3de.png
NGC 79,Galaxy,15.2,83600.0,Andromeda,00h21m,+22°33',,From Madrid: NGC79 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115728_4d0d4c355e51.png
NGC 80,Galaxy,12.3,81000.0,Andromeda,00h21m,+22°21',,From Madrid: NGC80 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115757_cea6623c6999.png
NGC 81,Galaxy,16.4,–,Andromeda,00h21m,+22°22',,From Madrid: NGC81 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115716_f7d378d7b66b.png
NGC 82,Star,–,–,Andromeda,00h21m17s,"+22°27'37""",,"From Madrid: NGC82 is visible from soon after it rises, at 05:01, until soon before it sets at 19:53. Always take extreme caution when trying to make daytime observations of the Moon while the Sun is above the horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_3deb2d616539.png
NGC 83,Galaxy,12.6,89400.0,Andromeda,00h21m,+22°26',,From Madrid: NGC83 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115754_92307b05ad3d.png
NGC 84,Star,–,–,Andromeda,00h21m21s,"+22°37'10""",,"From Madrid: NGC84 is visible from soon after it rises, at 05:00, until soon before it sets at 19:53. Always take extreme caution when trying to make daytime observations of the Moon while the Sun is above the horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_40f0f70dc9fc.png
NGC 85,Galaxy,15.5,56200.0,Andromeda,00h21m,+22°30',,From Madrid: NGC85 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115724_ad6f2f3b8881.png
NGC 86,Galaxy,14.8,89600.0,Andromeda,00h21m,+22°33',,From Madrid: NGC86 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115731_6540f9bc75d0.png
NGC 87,Galaxy,14.3,–,Phoenix,00h21m,-48°37',,From Madrid: NGC87 is not readily observable since it lies so far south that it will never rise more than 0° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115737_7a381d955611.png
NGC 88,Galaxy,14.4,–,Phoenix,00h21m,-48°38',,From Madrid: NGC88 is not readily observable since it lies so far south that it will never rise more than 0° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_3aa96d7337ec.png
NGC 89,Galaxy,13.5,–,Phoenix,00h21m,-48°39',,From Madrid: NGC89 is not readily observable since it lies so far south that it will never rise more than 0° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_b9d756ac3e61.png
NGC 90,Galaxy,13.8,102350.0,Andromeda,00h21m,+22°24',,From Madrid: NGC90 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_01ce8f6a8b87.png
NGC 91,Star,13.7,–,Andromeda,00h21m51s,"+22°22'06""",Arp 65,From Madrid: NGC91 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115743_b9b55f8f112b.png
NGC 92,Galaxy,13.2,–,Phoenix,00h21m,-48°37',,From Madrid: NGC92 is not readily observable since it lies so far south that it will never rise more than 0° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115748_897327a2e321.png
NGC 93,Galaxy,13.3,79900.0,Andromeda,00h22m,+22°24',,From Madrid: NGC93 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115747_3264bff0589b.png
NGC 94,Galaxy,15.4,–,Andromeda,00h22m,+22°28',,From Madrid: NGC94 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115726_f016e01fdf03.png
NGC 95,Galaxy,12.6,53500.0,Pisces,00h22m,+10°29',,From Madrid: NGC95 is not observable – it will reach its highest point in the sky during daytime and is no higher than 3° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115753_004414068354.png
NGC 96,Galaxy,15.5,–,Andromeda,00h22m,+22°32',,From Madrid: NGC96 is not observable – it will reach its highest point in the sky during daytime and is no higher than 11° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115725_2a6bd50e0fef.png
NGC 97,Galaxy,13.4,70950.0,Andromeda,00h22m,+29°44',,From Madrid: NGC97 is not observable – it will reach its highest point in the sky during daytime and is no higher than 15° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_9ce564712b23.png
NGC 98,Galaxy,12.7,–,Phoenix,00h22m,-45°16',,From Madrid: NGC98 is not readily observable since it lies so far south that it will never rise more than 4° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115753_6227c508c0e3.png
NGC 99,Galaxy,13.8,29100.0,Pisces,00h23m,+15°46',,From Madrid: NGC99 is not observable – it will reach its highest point in the sky during daytime and is no higher than 6° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_c9b9e426f8f3.png
NGC 100,Galaxy,13.2,17500.0,Pisces,00h24m,+16°29',,From Madrid: NGC100 is not observable – it will reach its highest point in the sky during daytime and is no higher than 7° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115747_8d6560bdba2f.png
NGC 101,Galaxy,12.8,–,Sculptor,00h23m,-32°32',,From Madrid: NGC101 is not readily observable since it lies so far south that it will never rise more than 17° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115751_47b7ebe6f9e7.png
NGC 102,Galaxy,14.4,104000.0,Cetus,00h24m,-13°57',,From Madrid: NGC102 is not observable – it will reach its highest point in the sky during daytime and is  12° below the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_568e1003dea9.png
NGC 103,Open cluster,9.8,3.0,Cassiopeia,00h25m,+61°19',Cr 1,"From Madrid: NGC103 is visible all night because it is circumpolar. It will be highest in the sky shortly before dawn, when it will be lost to twilight around 06:12, 32° above your north-eastern horizon. At dusk, it will become visible around 22:12 (CEST), 15° above your northern horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115822_9d3013a936fc.png
NGC 104,Globular cluster,4.0,4.5,Tucana,00h24m,-72°04',"47 Tucanae, C 106, Mel 1",From Madrid: 47 Tucanae is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=icon&obj=NGC104
NGC 105,Galaxy,13.2,–,Pisces,00h25m,+12°53',,From Madrid: NGC105 is not observable – it will reach its highest point in the sky during daytime and is no higher than 4° above the horizon at dawn.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115748_42bd85d35997.png
