Name,Type,Magnitude,Distance,Constellation,RA,DEC,Other Names,Description,Url_image
NGC 3011,Galaxy,14.2,24100.0,Leo,09h49m,+32°13',Mrk 409,"From Madrid: NGC3011 will become visible around 22:12 (CEST), 81° above your south-western horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 06:08.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115738_05612ee5dc66.png
NGC 3012,Galaxy,14.7,120000.0,Leo Minor,09h49m,+34°42',,"From Madrid: NGC3012 will become visible around 22:12 (CEST), 83° above your south-western horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 06:23.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115733_b1b60b200386.png
NGC 3013,Galaxy,15.6,–,Leo Minor,09h50m,+33°34',,"From Madrid: NGC3013 will become visible around 22:12 (CEST), 82° above your south-western horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 06:16.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115724_6965a6261320.png
NGC 3014,Galaxy,14.8,–,Sextans,09h49m,-04°44',,"From Madrid: NGC3014 will become visible around 22:12 (CEST), 44° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:40.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115732_0d23640816b2.png
NGC 3015,Galaxy,14.3,–,Sextans,09h49m,+01°08',,"From Madrid: NGC3015 will become visible around 22:12 (CEST), 50° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:00.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115737_a0a7425e59a9.png
NGC 3016,Galaxy,13.7,141000.0,Leo,09h49m,+12°41',,"From Madrid: NGC3016 will become visible around 22:12 (CEST), 61° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:41.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115743_da7ec41877f4.png
NGC 3017,Galaxy,14.4,–,Sextans,09h49m,-02°49',,"From Madrid: NGC3017 will become visible around 22:12 (CEST), 46° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:46.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_f63df2732365.png
NGC 3018,Galaxy,13.9,–,Sextans,09h49m,+00°37',,"From Madrid: NGC3018 will become visible around 22:12 (CEST), 49° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:59.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115741_32f9bb0cf966.png
NGC 3019,Galaxy,15.1,132000.0,Leo,09h50m,+12°44',,"From Madrid: NGC3019 will become visible around 22:12 (CEST), 62° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:42.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115728_8e06fd5aead8.png
NGC 3020,Galaxy,13.3,22000.0,Leo,09h50m,+12°48',,"From Madrid: NGC3020 will become visible around 22:12 (CEST), 62° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:42.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115747_ec278eb42691.png
NGC 3021,Galaxy,12.4,31550.0,Leo Minor,09h50m,+33°33',,"From Madrid: NGC3021 will become visible around 22:12 (CEST), 82° above your south-western horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 06:17.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115755_bde36b67a2fa.png
NGC 3022,Galaxy,14.5,–,Sextans,09h49m,-05°09',,"From Madrid: NGC3022 will become visible around 22:12 (CEST), 44° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:39.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_aa8f9158d52f.png
NGC 3023,Galaxy,13.5,–,Sextans,09h49m,+00°37',Mrk 1236,"From Madrid: NGC3023 will become visible around 22:12 (CEST), 49° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:59.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_8377881d8c0d.png
NGC 3024,Galaxy,13.8,30650.0,Leo,09h50m,+12°45',,"From Madrid: NGC3024 will become visible around 22:12 (CEST), 62° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:42.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_54c8bfbb6a57.png
NGC 3025,Galaxy,13.9,–,Hydra,09h49m,-21°44',,"From Madrid: NGC3025 will become visible around 22:12 (CEST), 27° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 02:37.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115740_0481c1f8e118.png
NGC 3026,Galaxy,13.8,24500.0,Leo,09h50m,+28°33',,"From Madrid: NGC3026 will become visible around 22:12 (CEST), 77° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 05:49.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_4c8a9e7e4403.png
NGC 3027,Galaxy,11.8,16600.0,Ursa Major,09h55m,+72°12',,"From Madrid: NGC3027 is visible all night because it is circumpolar. It will be highest in the sky at dusk, becoming accessible around 22:12 (CEST), 58° above your northern horizon. It will be lost to dawn twilight around 06:12, 29° above your northern horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115802_e7a745455be0.png
NGC 3028,Galaxy,13.6,57150.0,Hydra,09h49m,-19°11',,"From Madrid: NGC3028 will become visible around 22:12 (CEST), 30° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 02:48.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115744_53fa9bc106a5.png
NGC 3029,Galaxy,14.0,76400.0,Sextans,09h48m,-08°03',,"From Madrid: NGC3029 will become visible around 22:12 (CEST), 41° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:28.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115739_de0b398c8752.png
NGC 3030,Galaxy,14.4,–,Hydra,09h50m,-12°13',,"From Madrid: NGC3030 will become visible around 22:12 (CEST), 37° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:15.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_7184c9c7903c.png
NGC 3031,Galaxy,6.9,4175.0,Ursa Major,09h55m,+69°03',"Bode's Galaxy, Bode's Nebula, M 81","From Madrid: M81 is visible all night because it is circumpolar. It will be highest in the sky at dusk, becoming accessible around 22:12 (CEST), 61° above your northern horizon. It will be lost to dawn twilight around 06:12, 27° above your northern horizon.",https://in-the-sky.org/image.php?style=icon&obj=NGC3031
